budget,release_date,revenue,vote_average,vote_count,year,Success
800000,2009-01-09,1984662,6.1,311,2009,True
5500000,2013-07-20,99067206,7.5,205,2013,True
30000000,2007-08-29,129266061,7.4,1049,2007,True
17000000,2011-08-18,24922237,6.0,603,2011,False
80000000,2008-12-24,212874442,5.9,901,2008,True
12000000,2006-08-11,114194847,6.7,1060,2006,True
100000000,2002-08-15,7103973,4.4,142,2002,False
60000000,2015-01-21,30418560,5.4,1055,2015,False
26000000,2000-08-30,71868327,7.3,1112,2000,True
16000000,2014-05-18,3442853,6.4,258,2014,False
8000000,2011-04-29,10130000,5.7,134,2011,False
35000000,2002-02-10,45479110,5.4,239,2002,False
4,1932-12-08,25,6.2,28,1932,True
2500000,1982-10-22,14400000,5.0,229,1982,True
160000,1989-09-01,6706368,7.4,90,1989,True
35000000,2007-07-04,69307224,5.2,253,2007,True
28000000,1993-09-23,669276,6.8,26,1993,False
25000000,2005-06-02,36351350,5.4,115,2005,False
40000000,1999-02-26,96618699,6.1,474,1999,True
28000000,2003-03-14,58795814,5.0,284,2003,True
15000000,2006-04-28,76286096,6.9,367,2006,True
3000000,2005-08-18,9879971,6.9,94,2005,True
61000000,2015-09-09,311256926,6.4,3040,2015,True
19800000,2014-09-10,41296320,6.5,505,2014,True
20000000,2002-10-01,8586376,4.7,146,2002,False
66000000,2011-12-25,177584879,7.0,992,2011,True
50000000,2014-03-20,80383290,6.2,316,2014,True
145000000,2008-07-01,401128639,5.2,1387,2008,True
133000000,1999-12-17,300135367,5.8,959,1999,True
1500000,2013-07-24,3566225,5.5,342,2013,True
59000000,2002-03-10,383257136,7.1,3857,2002,True
45000000,2005-05-13,56070433,5.6,176,2005,False
120000000,2012-11-20,609016565,7.2,5797,2012,True
35000000,2006-09-06,15304890,6.8,827,2006,False
71000000,1998-06-22,294456605,5.4,686,1998,True
145000000,2011-12-07,694713380,6.8,3972,2011,True
9000000,2002-09-13,4777465,6.5,95,2002,False
45000000,2007-09-20,148412065,6.1,1292,2007,True
218,2003-10-19,1162014,7.5,22,2003,True
100000000,1996-06-21,100138851,6.8,1129,1996,False
2800000,1974-12-15,86273333,7.7,854,1974,True
60000000,1998-10-02,171757863,6.0,1272,1998,True
1455000,1968-11-06,2620000,5.4,12,1968,True
130000000,2008-11-18,49554002,6.3,694,2008,False
25000000,2008-03-28,11207130,6.1,82,2008,False
25000000,2012-12-25,119772232,5.7,210,2012,True
6400000,2011-10-17,35057696,6.6,406,2011,True
20000000,2016-02-19,12639297,5.6,797,2016,False
25485000,1970-01-26,29548291,6.9,147,1970,False
69000000,2010-07-30,86387857,5.5,531,2010,False
25000000,2011-09-16,27603069,7.0,738,2011,False
57000000,2005-10-06,52034889,6.1,327,2005,False
48000000,1989-05-24,474171806,7.6,3152,1989,True
42000000,2001-08-03,35402320,5.8,198,2001,False
45000000,2006-03-23,184376254,7.3,1630,2006,True
70000000,1998-03-05,56702901,6.1,109,1998,False
25000000,2007-03-22,229736344,6.1,663,2007,True
17000000,1986-02-14,6735922,5.8,177,1986,False
30000000,1994-03-18,51132598,6.3,521,1994,True
20000000,2010-10-21,136150434,5.8,730,2010,True
8000000,2006-07-06,12671300,6.5,42,2006,True
210000000,2006-05-24,459359555,6.3,3525,2006,True
1350000,1998-03-05,3897569,7.5,1648,1998,True
20000000,2004-03-19,72258126,7.9,3652,2004,True
1000000,2013-09-19,4235151,7.3,221,2013,True
21000000,2006-09-01,26193068,7.2,277,2006,False
3000000,2012-08-06,11947954,5.3,444,2012,True
9000000,2008-10-03,32973937,6.4,379,2008,True
65000000,2012-05-15,179379533,5.9,1743,2012,True
25000000,1993-11-24,441286195,7.0,1591,1993,True
10000000,2007-09-06,33000000,6.2,238,2007,True
12000000,2004-05-20,19271312,6.9,206,2004,True
500000,2010-07-09,98017,5.7,251,2010,False
25000000,2012-01-26,77278331,6.4,1451,2012,True
4000000,2006-11-17,4630045,5.5,69,2006,False
150000000,2011-04-21,449326618,6.6,6525,2011,True
100000000,2015-11-20,93820758,6.5,1276,2015,False
39000000,2005-08-25,38869464,7.4,1264,2005,False
20000000,2015-04-23,6420319,7.0,185,2015,False
31000000,2012-11-02,161772375,6.5,2415,2012,True
3300000,2015-01-29,64110728,5.1,505,2015,True
12000000,2014-04-16,101332962,6.0,229,2014,True
7400000,2006-08-11,17000000,6.1,42,2006,True
1500000,2007-04-10,30448000,7.1,934,2007,True
18000000,2013-08-29,10501938,4.9,246,2013,False
40000000,2005-11-23,31670620,6.7,155,2005,False
40000000,2011-04-11,97138686,6.1,902,2011,True
100000000,2012-12-25,425368238,7.8,10099,2012,True
110000000,2004-04-02,103951461,5.7,389,2004,False
4000000,1996-02-23,16491080,7.8,2655,1996,True
18000000,1981-06-26,14110013,6.5,67,1981,False
35000000,2007-10-22,63215872,6.0,216,2007,True
25000000,2015-09-09,42972994,6.7,973,2015,True
28000000,1984-05-23,333000000,7.1,2781,1984,True
45000000,1994-10-07,170362582,5.5,313,1994,True
15000000,2012-11-02,15608545,5.2,358,2012,False
11000000,2006-07-27,88489643,6.7,537,2006,True
30000000,2003-04-25,90259536,7.1,1061,2003,True
10000000,1998-01-21,6451628,6.8,81,1998,False
63000000,2006-08-09,162945894,5.9,447,2006,True
44000000,2010-05-01,48190704,6.8,566,2010,False
10000000,2016-06-29,118587880,6.1,1306,2016,True
30000000,2011-10-21,15395087,6.3,288,2011,False
50000000,1995-10-13,10382407,5.5,108,1995,False
16000000,2007-09-26,2849142,6.7,90,2007,False
12000000,2012-11-08,66351,5.6,224,2012,False
17500000,2004-09-11,38000000,7.5,793,2004,True
150000000,2009-04-28,373062864,6.2,4021,2009,True
75000000,2004-02-13,196482882,6.6,2105,2004,True
27500000,2007-09-07,24748670,6.2,205,2007,False
27000000,2008-08-06,101624843,6.6,1148,2008,True
55000000,2015-09-10,203427584,6.7,1772,2015,True
17000000,2011-01-21,43165571,6.0,849,2011,True
6000000,1986-12-18,138530565,7.5,1205,1986,True
37000000,2004-06-23,113086475,6.3,679,2004,True
8000000,2010-07-06,6491240,6.9,672,2010,False
6500000,1987-07-24,54215416,6.8,116,1987,True
35000000,2001-03-18,147934180,5.5,867,2001,True
1250000,1941-10-28,6000000,6.8,72,1941,True
8500000,2002-09-06,34411240,5.0,70,2002,True
20000000,2009-03-11,136267476,6.1,1350,2009,True
37000000,1999-12-08,48451803,7.5,825,1999,False
50000000,1997-12-19,314178011,7.2,915,1997,True
36000000,1997-05-02,50159144,6.6,198,1997,False
60000000,1996-11-15,129832389,5.5,575,1996,True
25000000,1994-10-01,22200000,6.2,183,1994,False
100000000,1995-05-31,336529144,5.2,1498,1995,True
9600000,2005-09-03,4386236,6.0,24,2005,False
14200000,2005-05-16,674918,6.9,78,2005,False
16000000,1982-12-08,53977250,7.4,131,1982,True
52000000,1995-11-22,116112375,7.8,1307,1995,True
38000000,2001-06-22,207283925,6.6,3428,2001,True
700000,1999-10-08,10508,0.0,0,1999,False
40000000,1987-06-29,191185897,6.2,440,1987,True
3000000,1975-11-18,108981275,8.2,2919,1975,True
23000000,2009-12-18,5837674,6.5,57,2009,False
105000000,2015-12-03,133718711,5.5,783,2015,False
90000000,2000-03-10,60874615,5.7,369,2000,False
53000000,2001-04-04,83282296,7.4,1317,2001,True
31192,2009-09-01,10000,6.3,26,2009,False
30000000,2015-06-15,91709827,7.3,2067,2015,True
50000000,2004-05-27,49718611,5.9,189,2004,False
50000000,1999-10-13,58900031,5.9,75,1999,False
28000000,2015-08-13,201634991,7.7,1355,2015,True
11000000,2007-03-16,13196245,5.0,55,2007,False
100000000,2006-11-16,384335608,5.9,1410,2006,True
11000000,1977-05-25,775398007,8.1,6624,1977,True
65000000,1996-10-11,89456761,6.5,314,1996,False
40000000,1992-07-01,107458785,6.7,354,1992,True
80000000,1999-12-17,90874570,7.0,292,1999,False
30000000,2011-04-29,13521829,4.8,131,2011,False
24000000,2000-10-13,13700000,5.7,34,2000,False
90000000,1997-05-07,263920180,7.3,3885,1997,True
3500159,2002-04-11,76578641,6.2,578,2002,True
28000000,2006-05-12,38159905,5.8,491,2006,False
75000000,2012-03-12,691210692,6.9,9455,2012,True
1200000,2004-10-01,103911669,7.2,2184,2004,True
2500000,1964-09-17,124881062,7.2,987,1964,True
24000000,2000-04-07,12372410,4.7,49,2000,False
16400000,1989-06-02,235860116,8.1,2705,1989,True
32000000,2006-12-08,5914908,5.9,86,2006,False
25000000,1984-08-17,5778353,5.0,22,1984,False
7500000,2009-07-17,60722734,7.2,2904,2009,True
14000000,2002-03-08,25482931,5.8,48,2002,True
22000000,2005-08-06,22400154,4.7,225,2005,False
2800000,2014-09-19,1826705,5.1,366,2014,False
11000000,2001-10-12,23978402,4.1,54,2001,True
30000000,2005-01-19,35294470,6.0,311,2005,False
50000000,2006-02-10,69834815,6.2,106,2006,False
20000000,2008-03-04,41627431,6.4,497,2008,True
78000000,2003-07-11,179265204,5.7,1155,2003,True
25000000,2011-12-09,34942188,5.4,325,2011,False
4000000,2003-08-31,119723856,7.3,1895,2003,True
38000000,1991-03-01,34416893,6.7,275,1991,False
10000000,2016-01-22,64188367,5.8,1102,2016,True
19000000,2002-12-06,32801173,7.3,638,2002,True
160000000,2007-05-17,798958165,6.0,2278,2007,True
75000000,2008-12-25,200276000,6.7,1173,2008,True
200000000,2010-03-03,1025491110,6.4,4645,2010,True
20000000,2004-09-03,16605763,5.8,52,2004,False
16500000,2007-09-21,13620075,6.0,236,2007,False
55000000,2014-11-27,259207227,7.0,883,2014,True
120000000,2001-06-02,186053725,6.7,1224,2001,True
30000000,1985-05-24,152427960,6.0,506,1985,True
16000000,1987-09-18,30857814,7.6,1486,1987,True
1100000,2011-09-08,4105187,7.3,1055,2011,True
4900000,2016-07-21,44107032,6.3,1129,2016,True
3000000,1985-12-13,20966644,6.9,156,1985,True
19000000,2011-01-01,2570000,3.0,3,2011,False
22000000,1977-06-24,12000000,7.4,98,1977,False
12516654,2012-12-12,8109160,7.6,142,2012,False
150000000,2013-11-27,1274219009,7.3,5295,2013,True
10000000,1984-10-25,8801940,6.4,137,1984,False
40000000,2001-11-01,141069860,5.7,731,2001,True
4000000,2014-04-11,2365467,6.5,338,2014,False
200000000,2012-10-25,1108561013,6.9,7604,2012,True
80000000,2010-12-11,201584141,5.2,220,2010,True
45000000,1998-08-21,131183530,6.5,1905,1998,True
25500000,2013-08-22,2415472,6.0,171,2013,False
27000000,2006-02-24,56308881,7.4,1323,2006,True
35000000,2008-08-15,72436439,6.0,485,2008,True
110000000,2015-05-27,470490832,6.0,2968,2015,True
13000000,2007-05-16,75511123,6.1,88,2007,True
38000000,2016-01-21,112343513,5.9,1201,2016,True
2500000,2013-01-11,60141683,5.4,516,2013,True
14600000,1993-02-11,70906973,7.4,2301,1993,True
35000000,1991-11-15,182300000,7.0,675,1991,True
145000000,2012-06-06,746921274,6.4,1808,2012,True
130000000,2005-05-03,211643158,6.6,1157,2005,True
30000000,2008-04-17,105173115,6.4,1172,2008,True
237000000,2009-12-10,2787965087,7.2,11800,2009,True
2053648,1999-10-22,500000,7.8,17,1999,False
40000000,2000-02-11,144056873,6.3,1233,2000,True
11000000,2012-09-08,59520298,6.3,139,2012,True
40000000,2008-05-02,84601681,6.0,394,2008,True
46000000,1994-05-26,341631208,5.0,543,1994,True
14000000,1990-03-23,463000000,7.0,1746,1990,True
80000000,1999-02-22,118880016,5.8,196,1999,False
50000000,2005-09-22,22944502,6.0,444,2005,False
609000,1935-09-06,3202000,7.4,59,1935,True
225000000,2012-05-23,624026776,6.2,4160,2012,True
15000000,2000-07-19,5217498,4.7,15,2000,False
1000000,1976-11-21,117235147,7.5,1791,1976,True
