budget,release_date,revenue,vote_average,vote_count,year,Success
195000000,2011-06-28,1123746996,6.1,3299,2011,True
8900000,2012-07-01,19839492,7.5,400,2012,True
5000000,2006-11-22,140666,6.1,7,2006,False
20000000,1997-08-26,10686841,7.3,187,1997,False
1200000,1936-10-20,2736000,6.8,18,1936,True
50000000,2006-01-12,111340801,6.4,1528,2006,True
25000000,2012-05-22,8784318,5.5,301,2012,False
700000,2015-06-19,17986781,7.2,691,2015,True
42000000,2012-01-13,46221189,6.2,925,2012,False
85000000,2007-11-20,340487652,6.6,1449,2007,True
2686000,1963-06-12,6600000,6.0,30,1963,True
80000000,2004-08-20,78000586,4.7,183,2004,False
500000,2003-01-26,8679814,7.4,210,2003,True
40000000,2013-12-25,44907260,6.0,433,2013,False
10000000,2015-08-19,52882018,5.4,581,2015,True
50000000,2006-04-21,97607453,6.3,1067,2006,True
54000000,1990-12-24,136766062,7.1,1546,1990,True
45000000,1992-06-04,178051587,6.3,433,1992,True
39000000,2009-08-14,101229792,6.7,798,2009,True
55000000,1995-06-14,346079773,6.7,1457,1995,True
1000000,2000-02-01,1744858,6.3,25,2000,True
40000000,2009-06-01,317375031,6.7,1804,2009,True
12000000,2001-12-21,31155435,6.3,218,2001,True
12806000,2004-09-03,38535221,7.2,219,2004,True
16000000,1986-03-07,5900000,6.8,624,1986,False
18000000,2002-01-01,676698,7.0,104,2002,False
57000000,1996-05-31,115267375,6.4,535,1996,True
20000000,2006-10-13,39143839,5.2,283,2006,True
30000000,2006-09-01,495303,6.3,664,2006,False
20000000,2012-04-04,16863583,4.8,271,2012,False
44000000,2000-05-10,21400000,3.0,255,2000,False
50100000,2015-02-25,153962963,6.7,2542,2015,True
250000,1997-04-04,12021272,6.7,433,1997,True
40000000,1994-06-03,24332324,5.9,81,1994,False
380000000,2011-05-14,1045713802,6.4,4948,2011,True
100000000,2009-06-11,150166126,6.2,954,2009,True
2500000,1967-08-30,3200000,7.1,95,1967,False
4000000,1961-01-01,8200000,6.8,72,1961,True
3000000,2011-03-13,22000,5.7,197,2011,False
130000000,2013-05-30,243843127,5.0,2532,2013,True
15000000,2012-09-07,19422261,6.7,1206,2012,False
12000000,2006-10-06,38368909,5.3,153,2006,True
60000000,2001-03-01,56359980,5.7,191,2001,False
40000000,2006-10-19,109676311,8.0,4391,2006,True
15000000,1994-02-04,107217396,6.4,1648,1994,True
64000000,2015-07-29,97571250,7.6,756,2015,True
45000000,2005-08-11,92374674,6.7,607,2005,True
11000000,1981-06-12,31672907,6.5,204,1981,True
35000000,2008-03-27,25871834,4.9,379,2008,False
15000000,1984-11-29,316360478,6.8,961,1984,True
50000000,1997-09-12,109423648,7.5,1506,1997,True
45000000,2012-09-27,376141306,6.1,2757,2012,True
73000000,2016-05-11,349779543,5.9,1022,2016,True
22000000,2001-08-22,33788161,6.4,480,2001,True
50000000,1997-08-22,48169156,6.0,395,1997,False
200000,1933-02-09,2200000,5.1,27,1933,True
150000000,2005-11-04,314432665,5.6,944,2005,True
54000000,1996-06-26,128769345,5.4,702,1996,True
30000000,2005-09-04,192452832,6.8,643,2005,True
73000000,1998-08-07,103891409,5.8,327,1998,False
15000000,2013-03-20,35485608,6.8,1653,2013,True
30000000,2005-06-06,27610873,6.6,238,2005,False
12500000,2010-09-16,1083683,6.0,94,2010,False
15000000,2009-09-04,40105542,4.7,295,2009,True
4500000,1982-08-13,27092880,7.0,322,1982,True
1800000,1951-09-18,8000000,7.6,281,1951,True
40000000,1997-07-31,87840042,5.0,336,1997,True
30000000,2004-02-25,611899420,6.9,864,2004,True
50000000,2004-12-10,34808403,7.1,775,2004,False
18000000,1981-07-24,12000000,7.3,236,1981,False
8000000,2010-09-10,74952305,6.7,2210,2010,True
17000000,2000-10-01,213525736,7.2,927,2000,True
245000,1925-11-05,22000000,7.0,21,1925,True
22500000,2014-12-25,15520023,6.8,431,2014,False
70000000,2000-12-15,374111707,6.1,992,2000,True
18000000,2013-12-26,22309223,6.7,273,2013,False
40000000,2015-02-16,13644292,5.5,392,2015,False
33000000,2004-04-15,54700105,6.1,766,2004,True
70000000,2011-03-08,202466756,5.5,1448,2011,True
5500000,1980-06-06,4865000,3.3,16,1980,False
15000000,1999-09-15,356296601,7.9,3313,1999,True
90000000,2006-10-18,65900249,6.7,526,2006,False
63000000,1988-05-24,189015611,5.7,690,1988,True
12000000,2009-04-22,10652498,7.6,55,2009,False
8000000,1973-12-26,441306145,7.5,2005,1973,True
92000000,2001-11-18,143049560,6.8,579,2001,True
10000000,2001-07-01,59217789,6.1,720,2001,True
125000000,2014-03-20,362637473,5.6,2350,2014,True
12000000,2002-08-29,56298474,7.3,383,2002,True
35000000,2012-08-24,31083599,6.2,832,2012,False
37000000,1997-10-31,6482195,5.8,52,1997,False
30000000,2003-08-15,114908830,5.8,594,2003,True
140000000,2007-08-08,258022233,6.1,783,2007,True
120000000,2013-07-23,415440673,6.3,4053,2013,True
50000000,2003-04-18,42792561,6.2,286,2003,False
30000000,1988-07-20,38413606,7.2,238,1988,False
25000000,2007-11-08,171600000,7.7,3003,2007,True
90000000,1995-05-19,366101666,6.9,2066,1995,True
75000000,2001-10-12,67631903,6.2,302,2001,False
145000000,2014-06-12,609123048,7.6,3106,2014,True
25000000,1998-05-01,21567853,6.7,134,1998,False
70000000,2007-02-08,53587404,4.0,104,2007,False
40000000,1999-12-25,128798265,7.0,767,1999,True
126000000,2005-07-20,162949164,6.5,1770,2005,False
65000000,2004-08-04,217764291,7.0,1451,2004,True
75000000,2005-10-24,142400065,5.9,893,2005,True
15000000,1986-05-16,356830601,6.7,1698,1986,True
150000000,2012-05-08,245527149,5.7,2320,2012,True
60000000,2016-03-02,205754447,5.8,1621,2016,True
70000000,2005-02-10,368100420,6.4,1665,2005,True
28000000,2014-04-22,68896829,5.7,615,2014,True
150000000,2003-11-05,424988211,6.4,3096,2003,True
4000000,2007-02-09,2426851,6.2,80,2007,False
100000000,2009-09-17,242988466,6.5,1747,2009,True
5000000,1954-12-23,28200000,6.8,157,1954,True
130000000,2012-05-30,403170142,6.3,5080,2012,True
10000000,1999-05-15,3193102,6.6,105,1999,False
1000000,1956-11-15,9000000,5.5,21,1956,True
65000000,2012-02-14,156974557,5.9,1389,2012,True
18000000,2003-01-09,101564935,5.3,404,2003,True
25000000,2005-10-22,2405420,3.5,118,2005,False
21000000,2008-08-01,17600000,5.8,65,2008,False
50000000,2006-03-10,88715192,5.5,399,2006,True
100000000,2005-12-21,202026112,5.9,627,2005,True
35000000,2001-08-17,13678913,5.7,55,2001,False
13000000,1998-08-28,16757163,5.5,135,1998,False
10000000,1981-12-18,2154696,3.8,6,1981,False
50000000,2003-10-03,55495563,6.1,298,2003,False
50000000,2014-12-25,212902372,5.6,1652,2014,True
400000,1979-04-12,100000000,6.6,1213,1979,True
52000000,2008-07-03,609841637,6.4,1386,2008,True
878000,1942-11-26,10462500,7.9,1422,1942,True
20000000,2007-02-08,84146832,5.8,381,2007,True
29000000,2009-11-20,309208309,7.2,1597,2009,True
17000000,1997-10-17,125586134,5.6,687,1997,True
16000000,2014-10-03,19682924,3.7,392,2014,False
5000000,2013-09-08,44030246,6.3,1050,2013,True
45000000,2011-09-15,160078586,6.0,1007,2011,True
18000000,1995-08-18,122195920,5.4,442,1995,True
12000000,2012-06-01,9622846,6.4,35,2012,False
20000000,2006-09-08,37597471,5.2,288,2006,True
3000000,2015-02-12,3387000,4.9,148,2015,False
45000000,2004-12-17,21009180,5.7,276,2004,False
110000000,2015-03-18,295238201,6.2,3829,2015,True
48000000,1993-05-28,20915465,4.0,232,1993,False
50000000,1990-06-15,41482207,6.2,652,1990,False
20000000,2007-10-01,4001121,6.6,195,2007,False
9000000,2014-09-06,21571189,6.5,115,2014,True
17000000,2006-01-06,9500000,7.0,331,2006,False
50000000,1997-11-07,10541523,5.9,81,1997,False
7000000,2001-04-12,4720371,6.7,14,2001,False
25000000,1985-06-21,11137801,6.7,120,1985,False
46000000,1996-07-04,100860818,6.2,232,1996,True
80000000,2011-02-10,214918407,6.3,1543,2011,True
200000000,2013-04-18,1215439994,6.8,8806,2013,True
30000000,2012-04-12,66486080,6.5,2263,2012,True
12000000,1982-06-03,96800000,7.3,675,1982,True
8000000,1988-07-16,553171,7.8,773,1988,False
80000000,2004-12-17,55041367,5.8,369,2004,False
8000000,2015-12-30,5659286,7.0,459,2015,False
200000000,2013-03-07,491868548,5.7,3530,2013,True
125000000,1997-06-20,238207122,4.2,1418,1997,True
28000000,2008-02-03,92380927,6.4,564,2008,True
12000000,2010-12-01,11212294,6.3,59,2010,False
75000000,2007-12-19,119000410,6.5,338,2007,True
4000000,2008-11-17,530048,6.8,66,2008,False
15000000,2011-08-06,78054825,7.4,3725,2011,True
2000000,1999-10-29,7,8.0,1,1999,False
40000000,2003-09-26,19322135,5.9,482,2003,False
24000000,1999-12-25,8434146,5.7,53,1999,False
85000000,2006-06-03,158468292,6.1,1705,2006,True
35000000,2013-04-25,21819348,5.7,414,2013,False
130000000,2011-11-17,150406466,5.8,373,2011,False
32500000,2011-04-28,288383523,6.5,1661,2011,True
55000000,1987-05-15,14375181,4.2,28,1987,False
115000000,2001-11-01,562816256,7.5,5996,2001,True
5000000,2015-09-10,98450062,6.0,1360,2015,True
11500000,1989-04-21,57469467,6.4,407,1989,True
17000000,2013-11-15,71625195,6.7,110,2013,True
10000000,1968-09-26,37402877,7.0,103,1968,True
92000000,2004-11-05,631442092,7.4,5152,2004,True
50000000,2005-09-30,44434439,5.8,458,2005,False
11000000,1995-12-29,39363635,7.3,337,1995,True
16000000,1989-07-21,92823546,7.3,950,1989,True
10500000,1994-09-02,123509,8.5,2,1994,False
55000000,1978-12-13,300218018,6.9,1022,1978,True
160000000,1999-08-27,61698899,6.4,510,1999,False
8000000,2009-11-24,10629321,5.9,261,2009,False
150000000,2013-06-27,205366737,6.4,1891,2013,False
6900000,2012-09-21,44287131,5.6,555,2012,True
84000000,2002-06-14,275650703,5.4,820,2002,True
20000000,1992-02-14,121697323,6.5,728,1992,True
15000000,2007-10-20,7938872,6.3,545,2007,False
72500000,2006-08-04,162966177,6.2,491,2006,True
2000000,2010-09-10,563706,4.6,19,2010,False
3000000,1998-10-16,2807390,7.4,194,1998,False
12000000,2010-02-15,6814789,5.9,386,2010,False
30000000,1998-09-11,9898412,6.2,179,1998,False
10000000,2010-01-13,33583175,5.8,816,2010,True
7000000,1983-04-08,1246141,4.5,31,1983,False
42000000,2005-09-16,24127895,7.0,1335,2005,False
13000000,2006-03-16,2636637,6.5,138,2006,False
95000000,2000-08-04,190213455,5.6,634,2000,True
45000000,2000-06-21,224834564,6.5,1150,2000,True
50000000,1999-09-17,73956241,7.2,396,1999,False
27220000,2013-07-18,5496951,6.1,465,2013,False
80000000,2000-12-24,34566746,6.9,189,2000,False
30000000,2009-01-09,114663461,5.9,856,2009,True
45000000,2003-07-02,124914842,5.1,377,2003,True
3500000,1987-05-01,14000000,5.9,129,1987,True
45000000,1997-01-31,2154540,4.0,11,1997,False
7000000,2010-02-12,8220215,7.0,118,2010,False
2000000,2004-09-12,120620,7.1,52,2004,False
55000000,2008-12-18,168167691,7.5,2039,2008,True
4000000,2011-11-18,355688,6.2,37,2011,False
65000000,2012-09-12,240159255,5.6,1600,2012,True
2000000,1976-04-09,7900000,6.7,86,1976,True
55000000,2003-12-10,33828318,5.1,188,2003,False
15000000,2000-03-31,9902115,5.0,37,2000,False
2000000,2015-02-04,14674076,6.6,1832,2015,True
80000000,2010-06-24,271430189,6.0,1705,2010,True
12000000,1979-01-01,54000000,5.4,25,1979,True
