budget,release_date,revenue,vote_average,vote_count,year,Success
12000000,2001-10-05,17292381,5.4,33,2001,False
36000000,2003-04-04,44350926,5.8,258,2003,False
200000000,2010-06-16,1066969703,7.6,4597,2010,True
17000000,2006-03-04,7314027,4.9,95,2006,False
125000000,2006-05-17,767820459,6.5,2704,2006,True
92000000,2008-08-09,188072649,6.5,1667,2008,True
26000000,2009-01-15,183293131,5.2,788,2009,True
30000000,2001-08-10,287553595,6.0,1344,2001,True
25000000,2005-06-03,13411957,7.0,210,2005,False
16800000,2006-08-30,2281089,5.8,73,2006,False
1250000,1945-11-25,11000000,7.4,112,1945,True
58000000,2005-09-16,102854431,6.5,579,2005,True
68000000,2015-06-25,217022588,6.2,2463,2015,True
10000000,2011-06-24,1759252,7.0,54,2011,False
90000000,1997-07-11,171120329,7.2,1308,1997,True
5000000,2011-07-20,25562924,5.0,356,2011,True
140000000,2002-11-17,431971116,5.8,1092,2002,True
20000000,2013-07-18,27187375,5.8,72,2013,False
15000000,1985-12-18,146292009,7.7,338,1985,True
15000000,1962-12-10,69995385,7.8,851,1962,True
25000000,1998-10-16,50671850,5.5,350,1998,True
14000000,1999-04-15,18535191,6.3,46,1999,False
68000000,1999-08-06,29762011,5.7,250,1999,False
950000,2005-01-14,7022209,6.8,701,2005,True
40000000,2004-08-06,95149435,6.0,697,2004,True
12000000,2008-04-25,43493123,6.2,497,2008,True
57000000,2001-03-01,147845033,5.8,441,2001,True
20000000,2016-07-27,83707310,7.1,2181,2016,True
11000000,1992-03-13,64088552,7.3,384,1992,True
80000000,1998-04-03,136159423,5.0,388,1998,True
15000000,2005-09-05,15785148,7.2,886,2005,False
70000000,1998-01-16,19870567,5.5,179,1998,False
13000000,2000-12-15,73180723,5.2,509,2000,True
160000000,1997-06-13,164508066,4.1,434,1997,False
35000000,2011-07-21,150483765,6.5,2237,2011,True
20000000,2006-10-09,41237648,5.8,129,2006,True
60000000,2015-12-24,101134059,6.4,1581,2015,True
60000000,2013-02-13,60052138,5.6,984,2013,False
35000000,1979-12-13,31755742,5.6,143,1979,False
4000000,1977-04-19,38251425,7.8,1010,1977,True
31000000,2004-09-13,41512007,6.0,293,2004,False
93000000,2011-08-03,482860185,7.0,4347,2011,True
30000000,2005-07-21,58405313,5.8,140,2005,True
16000000,2001-06-27,29381649,7.4,55,2001,True
30000000,2009-10-01,64352607,6.3,869,2009,True
15000000,1982-06-25,19629760,7.8,1588,1982,False
100000000,2006-12-14,249288105,4.9,967,2006,True
36000000,1983-10-07,160000000,5.8,338,1983,True
12000000,2008-02-01,56309766,5.5,281,2008,True
60000000,2002-07-12,43061982,6.0,669,2002,False
5000000,1989-10-12,11642254,5.2,183,1989,True
80000000,2013-12-18,126546518,5.2,133,2013,True
43000000,2000-12-21,80049764,7.0,302,2000,True
45000000,2001-10-05,104876233,7.3,1634,2001,True
85000000,2006-09-29,197309027,6.1,656,2006,True
23000000,2000-03-16,53302314,6.4,1378,2000,True
35000000,2009-11-24,92219310,5.2,210,2009,True
8000000,2005-07-22,23563727,6.9,99,2005,True
13000000,2006-05-16,4857367,6.8,207,2006,False
3000000,1985-10-31,29999213,5.7,361,1985,True
1250000,1953-01-21,8500000,6.7,79,1953,True
135000000,2011-03-02,245724603,6.6,2051,2011,True
38000000,1996-09-27,17380126,5.7,80,1996,False
10000000,2007-05-16,21786738,6.0,190,2007,True
140000000,2016-06-01,183345589,6.0,1000,2016,False
82000000,2005-05-19,190320568,6.2,785,2005,True
20000000,2014-02-12,34077920,6.7,542,2014,True
50000000,1996-08-02,60209334,5.3,284,1996,False
55000000,2000-10-06,330444045,6.6,1698,2000,True
80000000,1992-06-19,280000000,6.6,1673,1992,True
35000000,2005-07-29,86369815,5.8,550,2005,True
15000000,1987-12-10,43848069,7.0,546,1987,True
13000000,2010-12-02,327803731,7.3,4430,2010,True
5000000,2009-09-09,17872796,7.1,116,2009,True
19000000,2005-04-15,108047131,6.0,588,2005,True
40000000,2006-01-26,138259062,5.4,371,2006,True
3500000,1982-03-02,20659423,6.8,37,1982,True
200000000,2004-06-25,783766341,6.7,4321,2004,True
23000000,1987-07-17,51881013,3.5,224,1987,True
100000000,2001-06-29,235926552,6.8,1974,2001,True
20000000,2011-07-01,17425000,6.0,593,2011,False
40000000,1992-09-25,75505856,7.1,732,1992,True
32000000,2005-09-23,60740827,6.9,832,2005,True
65000000,1999-02-11,36850101,5.1,80,1999,False
19000000,1993-11-24,2119994,5.6,5,1993,False
85000000,2005-12-06,162242962,7.3,652,2005,True
30000000,2012-04-27,53909751,5.7,457,2012,True
25000000,2010-09-10,15478800,6.2,137,2010,False
37000000,2008-11-20,392616625,5.8,3561,2008,True
63000000,1993-06-11,920100000,7.6,4856,1993,True
50000000,1997-02-14,50068310,6.4,223,1997,False
30000000,2007-11-15,156835339,6.9,977,2007,True
75000000,2011-08-31,132274484,5.6,924,2011,True
800000,2003-01-17,62852,7.3,23,2003,False
6000000,2008-07-03,2899975,6.2,94,2008,False
170000000,2014-07-30,773328629,7.9,9742,2014,True
80000000,2002-07-12,181001478,7.3,1077,2002,True
70000000,2014-01-24,154984035,5.8,1523,2014,True
20000000,2011-03-16,4634062,4.5,139,2011,False
17000000,2003-08-08,63102666,5.5,299,2003,True
110000000,2000-06-28,215294342,6.8,1099,2000,True
30000000,2002-11-22,27674124,6.4,81,2002,False
3000000,1997-08-01,23144499,5.3,106,1997,True
11000000,2013-10-06,32935319,7.2,834,2013,True
30000000,2012-04-13,54819301,4.9,140,2012,True
12500000,1992-09-15,10725228,7.5,323,1992,False
38000000,1999-03-12,28121100,5.9,54,1999,False
50000000,2006-07-27,55181129,5.5,366,2006,False
9000000,2007-05-18,24538513,7.3,235,2007,True
12000000,2003-06-20,4922166,3.0,23,2003,False
12800000,2000-05-17,40031879,7.6,377,2000,True
5500000,2014-09-07,5000000,5.9,45,2014,False
19000000,1985-07-03,381109762,8.0,6079,1985,True
175000000,2009-03-19,381509870,6.0,1423,2009,True
220000,1992-09-04,2040920,6.6,238,1992,True
9000000,2006-12-25,21510851,4.8,119,2006,True
12300000,1988-11-18,84460846,7.0,640,1988,True
95000000,2010-02-01,226497209,6.0,2010,2010,True
80000000,2013-07-11,246984278,5.8,1155,2013,True
150000000,2009-07-21,292817841,5.1,510,2009,True
10000000,2007-10-25,139352633,5.9,903,2007,True
15000000,2008-10-10,42000000,7.2,1840,2008,True
72000000,2001-12-21,37317558,6.6,188,2001,False
29000000,2004-06-25,115603229,7.7,3067,2004,True
